NF,VALOR NF,PESO,QTD. BOBINAS,TRANSPORTADOR,MODAL,ORIGEM,DESTINO,UF DEST,CONTÊINER,CUSTO TRANSP.,VLR ADICIONAL,VALOR DO FRETE,ADV,BAF,INFRAEST. PEDAGIO,IMPOSTOS,DATA CARREG
3052024,75825.82,6009.6,273,MILLY,Rodoviário,Manaus AM,Carazinho,RS,1009,,,,,,,,2024-09-09
152024,364500,25110,810,MILLY,Rodoviário,Manaus AM,Carazinho,RS,GVTU50251332024,24000,,24000,,,,,2024-09-16
142024,291300,20770,670,MILLY,Rodoviário,Manaus AM,Carazinho,RS,GVTU50348602024,24000,,24000,,,,,2024-09-16
3112024,35026.74,2779.9,32,MILLY,Rodoviário,Manaus AM,Carazinho,RS,GVTU50348602024,,,,,,,,2024-09-16
3142024,323040.15,23928.9,54,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,BSIU 80605752024,28910.45,12500,16410.45,,,,,2024-09-18
382024,184500,12004.8,410,ALIANÇA,Cabotagem,Manaus AM,Holambra ,SP,SUDU59914312024,25892.6,6148.79,6564.71,,,,,2024-09-20
92024,232000,12400,400,ALIANÇA,Cabotagem,Manaus AM,Holambra ,SP,SUDU59914312024,,6351.21,6827.89,,,,,2024-09-20
192024,364500,24414.21,810,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRSU56609132024,28957.57,12500,16457.57,,,,,2024-09-23
202024,344250,23103,765,MILLY,Rodoviário,Manaus AM,Carazinho,RS,CAXU80719252024,24000,,24000,,,,,2024-09-25
212024,364500,24381,810,MILLY,Rodoviário,Manaus AM,Carazinho,RS,TCNU92259132024,24000,,24000,,,,,2024-09-25
392024,353250,23628.5,785,ALIANÇA,Cabotagem,Manaus AM,Holambra ,SP,SUDU88845502024,25880.95,12500,13380.95,,,,,2024-09-27
232024,364500,24381,810,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRKU24103062024,28957.57,12500,16457.57,,,,,2024-09-30
3262024,370235.75,25533.5,60,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRSU41107642024,28964.09,12500,16464.09,,,,,2024-10-01
342024,364500,24381,810,BERTOLINI,Rodoviário,Manaus AM,Holambra ,SP,1012,29033.03,3506.33,25526.7,,,,,2024-10-04
352024,324000,21672,720,BERTOLINI,Rodoviário,Manaus AM,Holambra ,SP,1012,28873.31,3484.68,25388.63,,,,,2024-10-04
3562024,372302,25676,68,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRKU61858622024,27652.8,12500,15152.8,,,,,2024-10-04
3572024,367543.1,25347.8,63,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRKU30927872024,28961.02,12500,16461.02,,,,,2024-10-07
3372024,296272.7,20432.6,35,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,HASU45088032024,28949.06,10466.83,13770.53,,,,,2024-10-08
262024,60750,3969,135,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,HASU45088032024,,2033.17,2678.53,,,,,2024-10-08
312024,66959.7,2576.75,18,BERTOLINI,Rodoviário,Manaus AM,Holambra ,SP,1013,,,3246.83,,,,,2024-10-08
3412024,327381,22578,38,BERTOLINI,Rodoviário,Manaus AM,Carazinho,RS,1014,27618.34,,27618.34,,,,,2024-10-12
3402024,353575.25,24384.5,44,BERTOLINI,Rodoviário,Manaus AM,Carazinho,RS,1014,27707.64,,27707.64,,,,,2024-10-12
3422024,364628.6,25146.8,44,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRKU63749692024,28957.72,12500,16457.72,,,,,2024-10-12
3432024,367898.35,25372.3,47,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MSKU00780672024,28961.43,12500,16461.43,,,,,2024-10-14
3462024,327736.25,22602.5,42,BERTOLINI,Rodoviário,Manaus AM,Carazinho,RS,1015,27619.56,,27619.56,,,,,2024-10-16
3472024,358360.25,24714.5,44,BERTOLINI,Rodoviário,Manaus AM,Carazinho,RS,1015,27723.96,,27723.96,,,,,2024-10-16
442024,222750,14553,495,BERTOLINI,Rodoviário,Manaus AM,Holambra ,SP,1013,28492.8,,20239.34,,,,,2024-10-17
452024,59400,3600,180,BERTOLINI,Rodoviário,Manaus AM,Holambra ,SP,1013,,,5006.63,,,,,2024-10-17
432024,364500,23814,810,BERTOLINI,Rodoviário,Manaus AM,Holambra ,SP,1013,29033.03,3506.33,25526.7,,,,,2024-10-17
3512024,363987.7,25102.6,63,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRKU48680262024,28956.99,12500,16456.99,,,,,2024-10-17
3582024,333850.9,23024.2,42,BERTOLINI,Rodoviário,Manaus AM,Carazinho,RS,1016,27640.4,,27640.4,,,,,2024-10-22
3592024,359528.95,24795.1,44,BERTOLINI,Rodoviário,Manaus AM,Carazinho,RS,1016,27727.94,,27727.94,,,,,2024-10-22
3602024,392959.1,25352.2,42,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,BEAU62678402024,28989.91,12500,16489.91,,,,,2024-10-23
3652024,332107.1,22651.8,37,BERTOLINI,Rodoviário,Manaus AM,Carazinho,RS,1017,27634.45,,27634.45,,,,,2024-10-25
3662024,389206.55,25110.1,41,BERTOLINI,Rodoviário,Manaus AM,Carazinho,RS,1017,27942.07,,27942.07,,,,,2024-10-25
3642024,396586.1,25586.2,42,ALIANÇA,Cabotagem,Manaus AM,Carazinho,RS,MRSU38946142024,28994.03,12500,16494.03,,,,,2024-10-25
3682024,355511.1,22936.2,38,MILLY,Rodoviário,Manaus AM,Carazinho,RS,MSKU96419102024,24000,,24000,,,,,2024-10-28
3692024,383597.1,24748.2,41,MILLY,Rodoviário,Manaus AM,Carazinho,RS,MSKU11625732024,24000,,24000,,,,,2024-10-28
3712024,354286.6,22857.2,38,BERTOLINI,Rodoviário,Manaus AM,Carazinho,RS,1019,27710.07,,27710.07,,,,,2024-10-29
